,precision,recall,f1-score,support
2,0.7617593158216249,0.4124813936821214,0.5351739923464826,36278.0
4,0.4752081071299312,0.5818487990782594,0.5231492549207108,11283.0
5,0.6311847568784198,0.6189117199391172,0.624987992084382,26280.0
10,0.3682749786507259,0.7671781187458305,0.4976559682654165,13491.0
accuracy,0.5512755919937709,0.5512755919937709,0.5512755919937709,0.5512755919937709
macro avg,0.5591067896201755,0.5951050078613321,0.5452418019042481,87332.0
weighted avg,0.6246600407624437,0.5512755919937709,0.5548515577046486,87332.0
